"gene-id"	"liver12-rep1"	"liver12-rep2"	"liver11-rep1"	"liver11-rep2"	"forebrain11-rep1"	"forebrain11-rep2"	"forebrain12-rep1"	"forebrain12-rep2"
"ENSMUSG00000102693"	0	0	0	0	1	0	0	0
"ENSMUSG00000064842"	0	0	0	0	0	0	0	2
"ENSMUSG00000051951"	0	6	24	20	43	63	193	180
"ENSMUSG00000102851"	1	0	0	0	2	4	0	9
"ENSMUSG00000103377"	1	2	3	5	20	32	59	75
"ENSMUSG00000104017"	8	2	0	4	32	53	86	165
"ENSMUSG00000103025"	0	8	6	4	17	28	70	124
"ENSMUSG00000089699"	0	0	0	0	0	0	0	0
"ENSMUSG00000103201"	0	0	1	0	5	8	10	23
"ENSMUSG00000103147"	0	0	0	0	0	1	0	4
"ENSMUSG00000103161"	0	0	2	0	5	12	13	23
"ENSMUSG00000102331"	2	7	4	12	24	90	130	192
"ENSMUSG00000102348"	0	0	0	0	0	0	3	0
"ENSMUSG00000102592"	0	0	0	0	0	0	0	0
"ENSMUSG00000088333"	0	0	0	0	0	0	0	0
"ENSMUSG00000102343"	0	0	0	0	0	0	0	0
"ENSMUSG00000025900"	0	1	11	1	3	0	1	5
"ENSMUSG00000102948"	0	0	0	0	0	0	1	0
"ENSMUSG00000104123"	0	0	0	0	0	4	0	2
"ENSMUSG00000025902"	408	359	263	260	185	272	267	406
"ENSMUSG00000104238"	4	12	3	7	2	0	0	8
"ENSMUSG00000102269"	4	0	3	4	1	1	1	3
"ENSMUSG00000096126"	0	0	0	0	0	0	0	0
"ENSMUSG00000103003"	0	0	0	0	0	0	0	0
"ENSMUSG00000104328"	0	0	0	0	2	0	0	0
"ENSMUSG00000102735"	1	0	0	2	0	0	0	0
"ENSMUSG00000098104"	41	45	47	26	20	32	71	69
"ENSMUSG00000102175"	4	2	4	1	7	11	1	15
"ENSMUSG00000088000"	0	0	0	0	0	0	0	0
"ENSMUSG00000103265"	2	7	3	0	2	1	4	3
"ENSMUSG00000103922"	36	40	62	47	22	53	38	52
"ENSMUSG00000033845"	6922	6141	4951	4599	2155	3231	3837	4239
"ENSMUSG00000102275"	10	5	13	5	3	9	9	15
"ENSMUSG00000025903"	4069	3574	3003	2977	2073	3487	3807	3906
"ENSMUSG00000104217"	0	0	0	0	0	0	0	0
"ENSMUSG00000033813"	3590	3398	2076	1982	1576	2547	2767	2802
"ENSMUSG00000062588"	332	354	131	129	219	299	315	339
"ENSMUSG00000103280"	9	10	9	3	10	14	29	28
"ENSMUSG00000002459"	6	1	3	0	16	24	784	718
"ENSMUSG00000091305"	0	0	0	0	0	2	4	0
"ENSMUSG00000102653"	0	0	0	0	8	18	52	64
"ENSMUSG00000085623"	6	15	6	5	18	14	29	32
"ENSMUSG00000091665"	0	0	0	0	0	0	0	3
"ENSMUSG00000033793"	5016	4773	3269	3350	2868	4142	7868	7949
"ENSMUSG00000104352"	0	0	0	0	0	0	0	0
"ENSMUSG00000104046"	0	0	0	0	0	0	0	0
"ENSMUSG00000102907"	0	0	0	0	0	0	0	0
"ENSMUSG00000025905"	11	7	15	19	13	10	49	29
"ENSMUSG00000103936"	0	0	0	0	0	0	0	0
