"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000037254",11960.8706389515,10.9402342470313,0.280673854211413,38.9784587444712,0,0
"ENSMUSG00000054932",197092.498770084,16.5399925507163,0.402221249676843,41.1216278702458,0,0
"ENSMUSG00000030220",1859.6652643549,3.49085116020481,0.0861419679881544,40.52439527136,0,0
"ENSMUSG00000014773",2150.18977341669,-5.0548842552369,0.127658693018179,-39.5968667368158,0,0
"ENSMUSG00000024990",19335.4644696309,11.4024994164866,0.277856133552711,41.0374220309357,0,0
"ENSMUSG00000032083",20825.2730923882,10.6297961437856,0.294311691221699,36.1174783769576,1.20598414568096e-285,5.49084581528539e-282
"ENSMUSG00000005681",16256.9444985714,11.2300561220783,0.316484595740736,35.4837368807612,8.7585965123912e-276,3.41810485036433e-272
"ENSMUSG00000001270",33676.8157468571,-4.31917069388038,0.121930864289813,-35.423112261505,7.52708778851585e-275,2.57031230258345e-271
"ENSMUSG00000034116",770.766801537975,4.29648043482422,0.122447103234388,35.0884612321119,1.01091911759657e-269,3.06847649494479e-266
"ENSMUSG00000005087",1473.27721012607,4.03661430414122,0.116750589032944,34.5746804155497,6.06954514297353e-262,1.65807834215751e-258
"ENSMUSG00000032554",3468.9817175831,7.73496077602863,0.22410410352386,34.515034104251,4.77262103020995e-261,1.18525873912069e-257
"ENSMUSG00000000247",4766.14439256447,-3.44151647256638,0.0999129357622627,-34.4451541365502,5.32174729256627e-260,1.21149577115271e-256
"ENSMUSG00000022766",3609.70370239728,8.52131208592296,0.250590247993376,34.0049628992275,1.88158944043026e-253,3.9539431025903e-250
"ENSMUSG00000069170",1726.07117114239,-6.63657211646377,0.20021122823518,-33.1478517711707,6.08174454860526e-241,1.18672212556285e-237
"ENSMUSG00000030844",944.301022519793,4.00411727838248,0.121782897276938,32.8791428674669,4.36708801407047e-237,7.95334069122513e-234
"ENSMUSG00000028356",12428.4560404253,12.7072889898255,0.389973560497724,32.5850013360064,6.68982406153372e-233,1.14220383570611e-229
"ENSMUSG00000029716",2123.134240635,6.25421365456375,0.192326089684635,32.518800048496,5.78350623549429e-232,9.29375431419017e-229
"ENSMUSG00000006567",2126.22331754735,3.6525369966242,0.113521450729829,32.1748618709684,3.96698925823364e-227,6.02056736424592e-224
"ENSMUSG00000097156",5892.89247723859,-11.1382483502728,0.347898645361599,-32.0157853408597,6.57580346305052e-225,9.45462100019021e-222
"ENSMUSG00000068874",1262.32295574591,4.29294586079226,0.134346385987598,31.9543084782985,4.70709206587603e-224,6.42941705278007e-221
"ENSMUSG00000024391",7127.24047481816,10.0550664360822,0.316059347885402,31.8138555412323,4.16413926001121e-222,5.41695030023745e-219
"ENSMUSG00000021379",7445.96265327483,-7.01698523391912,0.222228343709794,-31.5755637502413,7.99524450296987e-219,9.9279131514605e-216
"ENSMUSG00000024065",2284.43903461822,2.73570898548296,0.086894520465663,31.483101245308,1.47976682072093e-217,1.75757695688933e-214
"ENSMUSG00000004043",987.330491047616,4.76528692533816,0.151847618444755,31.3820326860897,3.55854808407848e-216,4.05051735670233e-213
"ENSMUSG00000033220",2442.05588451362,5.20377315507816,0.16664128763129,31.2273940572999,4.52686728462184e-214,4.94659841925198e-211
"ENSMUSG00000063919",1382.21827926926,-6.96651797307714,0.22339628729468,-31.1845736446268,1.72472487903306e-213,1.81215516328558e-210
"ENSMUSG00000026072",1479.18582284195,5.06309530767564,0.164089888399798,30.8556203983736,4.70898073687087e-209,4.76444206554957e-206
"ENSMUSG00000005686",1404.59784041472,5.15986099940967,0.168088364577503,30.6973121689843,6.18175488762749e-207,6.0311850007217e-204
"ENSMUSG00000004266",1200.19678843509,3.79604225881244,0.123929557876571,30.6306447295902,4.78494990201946e-206,4.50742280770233e-203
